12/10/2021-14:13:09.297185  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0020:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/10/2021-14:13:09.297203  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0001:136 -> 2001:0002:0000:0000:0000:0000:0000:0020:0
12/10/2021-14:13:09.297299  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:135 -> ff02:0000:0000:0000:0000:0001:ff00:0001:0
12/10/2021-14:13:09.297314  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} 2001:0002:0000:0000:0000:0000:0000:0001:136 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/10/2021-14:13:24.544033  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50734 -> 10.0.2.20:80
12/10/2021-14:13:24.544033  [**] [1:2101122:8] GPL WEB_SERVER /etc/passwd [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50734 -> 10.0.2.20:80
12/10/2021-14:13:25.747986  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50740 -> 10.0.2.20:80
12/10/2021-14:13:26.149132  [**] [1:2013791:4] ET SCAN Apache mod_proxy Reverse Proxy Exposure 1 [**] [Classification: Attempted Information Leak] [Priority: 2] {TCP} 10.0.0.20:50742 -> 10.0.2.20:80
12/10/2021-14:13:14.361520  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:8414:0cff:fe25:33d2:135 -> fe80:0000:0000:0000:5485:3fff:fe26:6a64:0
12/10/2021-14:13:14.361604  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:136 -> fe80:0000:0000:0000:8414:0cff:fe25:33d2:0
12/10/2021-14:13:19.481589  [**] [1:2101620:7] GPL POLICY TRAFFIC Non-Standard IP protocol [**] [Classification: Detection of a non-standard protocol or event] [Priority: 2] {IPv6-ICMP} fe80:0000:0000:0000:5485:3fff:fe26:6a64:135 -> fe80:0000:0000:0000:8414:0cff:fe25:33d2:0
